source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,wcda_n0,wcda_n0_err,N0,N0_err,F0,F0_err,F0_order,TS,fit_status
Mkn421,day,2021-06-25_2021-06-25,59390.5,2021-06-25,2021-06-25,6,2.6,3.0,2.6605e-13,1.4196e-13,2.6605e-13,1.4196e-13,0.26605,0.14196,1e-12,9.57,OK
Mkn421,day,2021-06-26_2021-06-26,59391.5,2021-06-26,2021-06-26,6,2.6,3.0,2.4474e-13,1.3908e-13,2.4474e-13,1.3908e-13,0.24474,0.13908,1e-12,4.17,OK
Mkn421,day,2021-06-27_2021-06-27,59392.5,2021-06-27,2021-06-27,6,2.6,3.0,2.9535e-13,1.4097e-13,2.9535e-13,1.4097e-13,0.29535,0.14097,1e-12,6.31,OK
Mkn421,day,2021-06-28_2021-06-28,59393.5,2021-06-28,2021-06-28,6,2.6,3.0,2.3473e-13,1.3189e-13,2.3473e-13,1.3189e-13,0.23473,0.13189,1e-12,4.48,OK
Mkn421,day,2021-06-29_2021-06-29,59394.5,2021-06-29,2021-06-29,6,2.6,3.0,4.2301e-13,1.6197e-13,4.2301e-13,1.6197e-13,0.42301,0.16197,1e-12,8.02,OK
Mkn421,day,2021-06-30_2021-06-30,59395.5,2021-06-30,2021-06-30,6,2.6,3.0,3.233e-13,1.6482e-13,3.233e-13,1.6482e-13,0.3233,0.16482,1e-12,7.75,OK
Mkn421,day,2021-07-01_2021-07-01,59396.5,2021-07-01,2021-07-01,6,2.6,3.0,3.5162e-13,1.5158e-13,3.5162e-13,1.5158e-13,0.35162,0.15158,1e-12,6.74,OK
Mkn421,day,2021-07-02_2021-07-02,59397.5,2021-07-02,2021-07-02,6,2.6,3.0,8.2489e-13,1.7177e-13,8.2489e-13,1.7177e-13,0.82489,0.17177,1e-12,34.13,OK
Mkn421,day,2021-07-03_2021-07-03,59398.5,2021-07-03,2021-07-03,6,2.6,3.0,3.8102e-13,1.1925e-13,3.8102e-13,1.1925e-13,0.38102,0.11925,1e-12,20.47,OK
Mkn421,day,2021-07-04_2021-07-04,59399.5,2021-07-04,2021-07-04,6,2.6,3.0,2.7892e-13,1.4496e-13,2.7892e-13,1.4496e-13,0.27892,0.14496,1e-12,4.74,OK
Mkn421,day,2021-07-05_2021-07-05,59400.5,2021-07-05,2021-07-05,6,2.6,3.0,1.5268e-13,1.3098e-13,1.5268e-13,1.3098e-13,0.15268,0.13098,1e-12,1.62,OK
Mkn421,day,2021-07-06_2021-07-06,59401.5,2021-07-06,2021-07-06,5,2.6,3.0,0.0,8.031e-14,0.0,8.031e-14,0.0,0.08031,1e-12,-0.0,OK
Mkn421,day,2021-07-07_2021-07-07,59402.5,2021-07-07,2021-07-07,5,2.6,3.0,4.1087e-13,1.4931e-13,4.1087e-13,1.4931e-13,0.41087,0.14931,1e-12,10.99,OK
Mkn421,day,2021-07-08_2021-07-08,59403.5,2021-07-08,2021-07-08,6,2.6,3.0,1.3015e-13,1.3199e-13,1.3015e-13,1.3199e-13,0.13015,0.13199,1e-12,1.1,OK
