mjd,flux,flux_err
55931.499976851854,2.1569433e-07,4.3787544e-08
55938.499976851854,1.481755e-07,3.919926e-08
55945.499976851854,1.2525969e-07,3.2035828e-08
55952.499976851854,1.1414843e-07,3.840881e-08
55959.499976851854,1.7533895e-07,3.7011525e-08
55966.499976851854,1.3913133e-07,3.5543597e-08
55973.499976851854,1.6865253e-07,4.2627885e-08
55980.499976851854,1.380471e-07,3.247337e-08
55987.499976851854,1.5601114e-07,4.2241467e-08
55994.499976851854,2.0386102e-07,3.925564e-08
56001.499976851854,2.756685e-07,5.0379217e-08
56008.499976851854,1.2710632e-07,3.789117e-08
56015.499976851854,2.340091e-07,3.727967e-08
56022.499976851854,2.0283655e-07,4.1244665e-08
56029.499976851854,2.129438e-07,4.5440775e-08
56036.499976851854,1.6506766e-07,4.322458e-08
56043.499976851854,1.704488e-07,3.7453805e-08
56050.499976851854,2.252466e-07,4.5782713e-08
56057.499976851854,1.8999262e-07,4.7802587e-08
56064.499976851854,1.301674e-07,3.723706e-08
56071.499976851854,3.032632e-07,4.4954007e-08
56078.499976851854,3.2108684e-07,4.6715297e-08
56085.499976851854,1.8776532e-07,4.0574697e-08
56092.499976851854,2.2177932e-07,3.7635196e-08
56099.499976851854,1.9455847e-07,3.9787157e-08
56106.499976851854,2.7569286e-07,4.7397254e-08
56113.49996527778,4.865758e-07,7.768369e-08
56120.49996527778,6.2109314e-07,5.8728027e-08
56127.49996527778,6.9770863e-07,6.0985265e-08
56134.49996527778,5.843903e-07,5.8762506e-08
56141.49996527778,5.168896e-07,5.287076e-08
56148.49996527778,7.158508e-07,6.421851e-08
56155.49996527778,6.65172e-07,6.957344e-08
56162.49996527778,5.663037e-07,6.1071155e-08
56169.49996527778,4.6265828e-07,5.4627428e-08
56176.49996527778,4.80176e-07,5.2609664e-08
56183.49996527778,3.9444018e-07,5.4973018e-08
56190.49996527778,3.1166806e-07,4.7004686e-08
56197.49996527778,1.8902911e-07,3.9878337e-08
56204.49996527778,1.6257907e-07,4.1609372e-08
56211.49996527778,1.4159119e-07,3.876661e-08
56218.49996527778,1.5275401e-07,4.3587676e-08
56225.49996527778,2.0536662e-07,3.8901288e-08
56232.49996527778,2.610713e-07,4.0513026e-08
56239.49996527778,2.891397e-07,4.3921595e-08
56246.49996527778,3.2811218e-07,4.2051447e-08
56253.49996527778,2.671735e-07,4.009976e-08
56260.49996527778,2.8928315e-07,4.6571035e-08
56267.49996527778,3.4147283e-07,4.773745e-08
56274.49996527778,2.8913468e-07,5.1058734e-08
56281.49996527778,2.8112547e-07,4.4725216e-08
56288.49996527778,3.304068e-07,5.0185772e-08
56295.49996527778,3.732024e-07,5.524225e-08
56302.49996527778,2.66527e-07,4.517616e-08
56309.49996527778,1.2837367e-07,3.2267465e-08
56316.49996527778,1.7137869e-07,3.663219e-08
56323.49996527778,3.4747202e-07,6.3519245e-08
56330.49996527778,2.5050747e-07,4.5613966e-08
56337.49996527778,1.8992269e-07,3.5646025e-08
56344.49996527778,2.713153e-07,4.992334e-08
56351.49996527778,2.9519185e-07,4.99545e-08
56358.49996527778,6.372787e-07,6.53718e-08
56365.49996527778,4.0210858e-07,6.0471805e-08
56372.49996527778,3.4540182e-07,5.325306e-08
56379.49996527778,5.113304e-07,6.127028e-08
56386.49996527778,4.1351026e-07,5.3674484e-08
56393.49996527778,5.231517e-07,5.701411e-08
56400.49996527778,5.349684e-07,5.5537516e-08
56407.49996527778,2.8117503e-07,4.054287e-08
56414.49996527778,5.061221e-07,5.9601803e-08
56421.49996527778,2.9311744e-07,4.7730875e-08
56428.49996527778,3.0073312e-07,4.102333e-08
56435.49996527778,3.0452364e-07,4.8208946e-08
56442.49996527778,2.988064e-07,4.084608e-08
56449.49996527778,4.004448e-07,5.411909e-08
56456.49996527778,3.5099836e-07,4.589244e-08
56463.49996527778,3.259899e-07,4.4230628e-08
56470.49996527778,3.734676e-07,5.1776922e-08
56477.49996527778,4.0413278e-07,6.492508e-08
56484.49996527778,3.3498875e-07,5.6660134e-08
56491.49996527778,2.3200145e-07,4.0223746e-08
56498.49996527778,2.4008685e-07,4.1611646e-08
56505.49996527778,2.4680384e-07,4.4926356e-08
56512.49996527778,4.0085374e-07,4.7426568e-08
56519.49996527778,3.1799814e-07,4.7966967e-08
56526.49996527778,3.2546734e-07,5.6079863e-08
56533.49996527778,3.0958188e-07,5.0133682e-08
56540.49996527778,2.7774232e-07,4.7183775e-08
56547.49996527778,2.3482454e-07,4.1848065e-08
56554.49996527778,2.8444714e-07,4.813066e-08
56561.49996527778,1.9923422e-07,4.299861e-08
56568.49996527778,2.5685677e-07,4.4269814e-08
56575.49996527778,2.056175e-07,4.4518547e-08
56582.49996527778,1.3914868e-07,3.938444e-08
56589.49996527778,2.0454577e-07,5.550209e-08
56596.49996527778,2.6749086e-07,4.38894e-08
56603.49996527778,1.7961848e-07,3.1814118e-08
56610.49996527778,1.7761374e-07,3.847741e-08
56617.49996527778,1.6847663e-07,3.7149423e-08
56624.49996527778,1.5204634e-07,3.549492e-08
56631.49996527778,1.10651165e-07,3.8683588e-08
56638.49996527778,1.7126776e-07,5.4496066e-08
56645.49996527778,2.2108367e-07,6.0438865e-08
56652.49996527778,1.136268e-07,2.9493627e-08
56659.49996527778,2.0781151e-07,4.035367e-08
56666.49996527778,2.8379262e-07,5.964679e-08
56673.49996527778,1.5822823e-07,5.4420234e-08
56680.49996527778,2.2611391e-07,4.1066382e-08
56687.49996527778,1.6844216e-07,2.9918272e-08
56694.49996527778,2.0685505e-07,4.33562e-08
56701.49996527778,2.326581e-07,4.1967713e-08
56708.49996527778,1.9439636e-07,3.944479e-08
56715.49996527778,2.3109634e-07,5.443399e-08
56722.49996527778,3.341923e-07,7.111408e-08
56729.49996527778,2.733038e-07,5.082247e-08
56736.49996527778,1.5852245e-07,4.2231136e-08
56743.49996527778,2.582613e-07,5.5928133e-08
56750.49996527778,2.87601e-07,3.9232006e-08
