source_id,survey,instrument,panel,band,mjd,flux_mjy,flux_err_mjy,mag,mag_err,quality_rule,source_url,note
mkn421,ATLAS,ATLAS forced photometry,optical,c,60236.635543,1.621,0.025,15.875,0.015,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60236.645137,2.271,0.04,15.51,0.018,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60240.619585,4.4,0.035,14.791,0.008,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60240.629787,4.436,0.032,14.783,0.007,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60240.641672,3.759,0.033,14.962,0.009,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60258.626157,15.376,0.064,13.433,0.004,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60258.630336,4.176,0.104,14.848,0.025,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60258.638288,4.62,0.128,14.738,0.028,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60258.652545,5.373,0.326,14.575,0.061,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60259.611005,7.78,0.034,14.173,0.004,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60259.614748,8.087,0.033,14.131,0.004,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60259.639807,7.95,0.035,14.149,0.004,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
