source_id,survey,asas_sn_id,mjd,jd,phot_filter,mag,mag_err,flux,flux_err,limit,fwhm,image_id,camera,quality
mkn421,ASAS-SN Sky Patrol,128849645138,59625.35645020008,2459625.8564502,g,12.99086808296887,0.005919337687360328,23.10356589210699,0.12581718363375663,16.90329071280899,1.50,bs416735,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59628.38555719983,2459628.8855572,g,12.978096615803258,0.005895888384476337,23.376936793131954,0.12680158529500307,16.894828903434206,1.38,bC316321,bC,B
mkn421,ASAS-SN Sky Patrol,128849645138,59629.38923839992,2459629.8892384,g,13.002512178887638,0.005196823117260455,22.85711310598228,0.1092816238803652,17.056272761881438,1.47,bs418050,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59631.55529690022,2459632.0552969,g,12.935239477126936,0.003907370140562785,24.31814580596144,0.08741839705238058,17.29863351447975,1.42,bC317146,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59633.30121440021,2459633.8012144,g,12.938389049076148,0.003893255375655744,24.247704417151837,0.08685030512383689,17.305712240052443,1.47,bC317813,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59638.27502229996,2459638.7750223,g,12.784966833652378,0.004372999518054491,27.927979399120524,0.11235871721638262,17.026123680744593,1.54,bC319807,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59640.25697440002,2459640.7569744,g,12.815945961875526,0.004291309257665061,27.142376108338112,0.10715822347923926,17.077576848811507,1.36,bC320643,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59643.394901399966,2459643.8949014,g,12.83611706948858,0.004133577788503006,26.64277278945601,0.10131957592049744,17.138407203054054,1.43,bC321573,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59644.39937230013,2459644.8993723,g,12.784111928069493,0.005137456069793056,27.94997847010349,0.13210444361847293,16.850347045707817,1.50,bs422258,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59645.358615200035,2459645.8586152,g,12.829772965573227,0.005109809944165204,26.79890583378276,0.12598233028043326,16.90186651848618,1.52,bs422530,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59646.463567399886,2459646.9635674,g,12.73486025270702,0.005413979172846694,29.247055405072125,0.1456755129237415,16.744174221650866,1.55,bs422884,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59649.2660095999,2459649.7660096,g,12.622811283152943,0.004916066537090534,32.426623991279186,0.14665852582519712,16.736872323287,1.40,bC323572,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59650.433358000126,2459650.933358,g,12.501847560416541,0.005847182576072908,36.24826504750471,0.19499420589475078,16.427586344386178,1.52,bs424310,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59651.42164589977,2459651.9216459,g,12.51531912027833,0.005947382725815029,35.80128384049462,0.19589002210896178,16.422609823310616,1.47,bs424679,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59652.418299099896,2459652.9182991,g,12.562883034724914,0.006136727055340989,34.26675938311827,0.19346288945282228,16.436146436782945,1.70,bs425054,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59656.401102500036,2459656.9011025,g,12.569215641923417,0.00630497244241991,34.06747862832117,0.19761095281955066,16.41311308093885,1.59,bC326522,bC,B
mkn421,ASAS-SN Sky Patrol,128849645138,59657.40085730003,2459657.9008573,g,12.564548053244827,0.005337729239386736,34.21425025315597,0.16801629166156842,16.58926212385851,1.49,bC326935,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59660.46349779982,2459660.9634978,g,12.715975191400194,0.004768099928784579,29.7602223970582,0.13054773714866433,16.863217240507925,1.45,bC328175,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59660.46475140005,2459660.9647514,g,12.679996975930486,0.004931054395907826,30.762913090374038,0.1395581099992018,16.79075291325801,1.49,bC328176,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59662.35534900008,2459662.855349,g,12.85297821203377,0.005034850607794285,26.232215056369196,0.12150926120672277,16.941117160686737,1.48,bs427706,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59665.30209479993,2459665.8020948,g,12.93983187028613,0.003497900693764649,24.21550334774364,0.07792715188313805,17.423418602097932,1.38,bC329619,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59665.33994450001,2459665.8399445,g,12.90299583314365,0.003837097577013727,25.05116431902526,0.0884338609571122,17.28609414542803,1.44,bC329648,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59669.31127819978,2459669.8112782,g,12.964948844545336,0.0034612034550461908,23.66174180670027,0.07534625429426092,17.459986443928624,1.47,bC330840,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59672.36677350011,2459672.8667735,g,13.009577485173178,0.0030604425890446455,22.708855918883927,0.06393921781842048,17.638222313555687,1.49,bC331680,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59673.38174699992,2459673.881747,g,13.061875363203807,0.0026863029918642845,21.640939137397655,0.05348338998742067,17.832093294559176,1.45,bs431201,bs,G
